delay,InvoiceRef
No,313548
No,313594
No,313711
No,313849
No,313942
No,314032
No,314044
No,314188
No,314327
No,314350
No,314424
No,314629
No,314826
No,315003
No,315181
No,315363
No,315465
Yes,315643
No,315650
No,315742
No,315905
No,316054
No,316140
No,316231
No,316233
No,316342
No,316378
No,316549
No,316740
No,316945
No,317074
No,317165
No,317170
No,317361
No,317387
Yes,317589
No,317795
No,317874
No,317887
No,318046
No,318085
No,318114
No,318306
No,318642
No,318818
No,319008
No,319040
No,319049
No,319170
No,319187
No,319311
No,319506
No,319661
No,319789
No,319967
No,320013
No,320208
No,320252
No,320334
No,320415
No,320440
No,320584
No,320721
No,320923
No,321117
No,321159
No,321293
No,321350
No,321528
No,321592
No,321728
No,321936
No,321973
Yes,322110
No,322269
No,322366
No,322455
No,322533
No,322687
No,322872
No,322960
No,323071
No,323154
No,323298
Yes,323304
No,323430
No,323613
No,323798
No,323999
No,324104
No,324156
Yes,324253
No,324269
No,324311
No,324407
No,324534
Yes,324615
Yes,324694
No,324822
No,324971
No,325212
No,325306
No,325446
No,325572
No,325736
No,325874
No,326034
No,326173
No,326358
No,326493
No,326565
No,326652
No,326653
No,326660
No,326743
No,326932
No,327001
No,327132
No,327151
No,327263
No,327394
No,327460
No,327474
No,327501
No,327562
No,327761
No,327934
No,328005
No,328056
No,328253
No,328296
No,328357
No,328433
No,328565
No,328728
No,328809
No,328810
No,328906
No,328969
No,329101
No,329144
No,329175
No,329176
No,329214
No,329272
No,329360
No,329474
No,329626
No,329713
No,329819
No,329933
No,330010
No,330072
No,330274
No,330298
No,330423
No,330474
No,330496
No,330697
No,330803
No,331002
Yes,331015
No,331123
No,331325
No,331344
No,331400
No,331745
No,331884
No,332086
No,332122
No,332149
No,332285
No,332362
Yes,332563
No,332629
No,332801
No,332849
No,332940
No,333055
No,333080
No,333133
No,333172
No,333204
No,333231
No,333390
No,333504
No,333537
No,333730
No,333886
No,333988
No,334046
No,334173
No,334198
No,334380
No,334605
No,334629
No,334822
No,334951
No,335068
No,335254
Yes,335373
No,335458
No,335597
No,335625
No,335728
No,335901
No,336065
No,336150
No,336204
No,336332
No,336384
No,336460
No,336497
No,336690
No,336763
No,336866
No,336966
No,337001
No,337059
No,337266
No,337363
No,337419
No,337463
No,337469
No,337480
No,337575
No,337704
No,337806
No,337912
No,338077
No,338149
No,338227
No,338405
No,338413
No,338598
Yes,338780
Yes,338893
No,339051
No,339179
Yes,339352
No,339375
No,339399
No,339471
No,339596
No,339727
Yes,339827
No,339927
No,340049
No,340105
No,340284
No,340390
No,340481
No,340667
No,340750
No,340939
No,341012
No,341151
No,341271
No,341365
No,341506
No,341681
No,341749
No,341752
Yes,341783
No,341919
No,341928
No,342079
No,342248
No,342249
No,342336
No,342543
No,342575
Yes,342746
Yes,342886
Yes,343026
Yes,343176
Yes,343329
Yes,343331
Yes,343515
Yes,343619
Yes,343628
Yes,343664
Yes,343669
Yes,343871
Yes,343916
No,344013
No,344082
No,344172
No,344227
Yes,344317
No,344520
No,344547
Yes,344629
Yes,344753
Yes,344925
Yes,344949
Yes,345035
No,345134
Yes,345157
No,345363
Yes,345525
Yes,345710
Yes,345744
Yes,345870
No,345877
Yes,346006
No,346203
No,346383
No,346584
No,346618
No,346723
No,346746
No,346787
Yes,346980
Yes,347045
No,347147
Yes,347247
Yes,347368
Yes,347390
No,347596
No,347769
No,347826
No,348013
No,348150
No,348236
No,348372
No,348446
Yes,348532
No,348603
Yes,348686
Yes,348764
Yes,348846
Yes,349013
No,349126
No,349382
No,349506
No,349625
No,349626
No,349634
No,349724
No,349890
No,349941
No,350106
No,350130
No,350318
No,350381
No,350409
No,350605
No,350655
No,350683
No,350845
No,350925
No,350979
No,351010
No,351050
No,351135
No,351289
No,351407
No,351414
No,351585
No,351625
No,351666
No,351745
No,351935
No,351987
No,352172
No,352288
No,352462
Yes,352627
No,352827
No,352888
No,352925
No,353094
No,353232
No,353259
No,353553
No,353649
No,353842
No,353897
No,353996
Yes,354201
No,354331
No,354449
No,354523
No,354710
No,354901
No,355095
No,355153
No,355175
No,355276
No,355356
No,355426
Yes,355560
No,355669
No,355703
No,355876
Yes,355973
No,355988
No,356007
Yes,356134
No,356312
No,356407
Yes,356509
No,356619
No,356668
No,356855
No,357049
No,357128
No,357247
No,357428
No,357637
No,357764
No,357964
No,358137
No,358247
No,358335
No,358348
No,358427
No,358508
No,358623
No,358886
No,359013
No,359059
No,359238
No,359268
No,359282
No,359468
No,359566
