DISTRIBUTOR,InvoiceRef
"D.C._GAS_EXTREMADURA,_S.A.",687244
"D.C._GAS_EXTREMADURA,_S.A.",687404
"D.C._GAS_EXTREMADURA,_S.A.",687599
"D.C._GAS_EXTREMADURA,_S.A.",687756
"D.C._GAS_EXTREMADURA,_S.A.",687902
"D.C._GAS_EXTREMADURA,_S.A.",687981
"D.C._GAS_EXTREMADURA,_S.A.",688133
"D.C._GAS_EXTREMADURA,_S.A.",688203
"D.C._GAS_EXTREMADURA,_S.A.",688394
"D.C._GAS_EXTREMADURA,_S.A.",688466
"D.C._GAS_EXTREMADURA,_S.A.",688517
"D.C._GAS_EXTREMADURA,_S.A.",688715
"D.C._GAS_EXTREMADURA,_S.A.",688806
"D.C._GAS_EXTREMADURA,_S.A.",688903
"D.C._GAS_EXTREMADURA,_S.A.",689008
"D.C._GAS_EXTREMADURA,_S.A.",689053
"D.C._GAS_EXTREMADURA,_S.A.",689112
"D.C._GAS_EXTREMADURA,_S.A.",689296
"D.C._GAS_EXTREMADURA,_S.A.",689460
"D.C._GAS_EXTREMADURA,_S.A.",689544
"D.C._GAS_EXTREMADURA,_S.A.",689592
"D.C._GAS_EXTREMADURA,_S.A.",689638
"D.C._GAS_EXTREMADURA,_S.A.",689725
"D.C._GAS_EXTREMADURA,_S.A.",689885
"D.C._GAS_EXTREMADURA,_S.A.",690045
"D.C._GAS_EXTREMADURA,_S.A.",690204
"D.C._GAS_EXTREMADURA,_S.A.",690404
"D.C._GAS_EXTREMADURA,_S.A.",690429
"D.C._GAS_EXTREMADURA,_S.A.",690583
"D.C._GAS_EXTREMADURA,_S.A.",690790
"D.C._GAS_EXTREMADURA,_S.A.",690874
DISTRIBUCION_BEGASA,1293279
DISTRIBUCION_BEGASA,1293396
DISTRIBUCION_BEGASA,1293472
DISTRIBUCION_BEGASA,1293557
DISTRIBUCION_BEGASA,1293577
DISTRIBUCION_BEGASA,1293591
DISTRIBUCION_BEGASA,1293608
DISTRIBUCION_BEGASA,1293708
DISTRIBUCION_BEGASA,1293811
DISTRIBUCION_BEGASA,1293834
DISTRIBUCION_BEGASA,1293913
DISTRIBUCION_BEGASA,1294073
DISTRIBUCION_BEGASA,1294112
DISTRIBUCION_BEGASA,1294302
DISTRIBUCION_BEGASA,1294336
DISTRIBUCION_BEGASA,1294522
DISTRIBUCION_BEGASA,1294619
DISTRIBUCION_BEGASA,1294731
DISTRIBUCION_BEGASA,1294898
DISTRIBUCION_BEGASA,1294996
DISTRIBUCION_BEGASA,1295146
DISTRIBUCION_BEGASA,1295153
DISTRIBUCION_BEGASA,1295280
DISTRIBUCION_BEGASA,1295385
DISTRIBUCION_BEGASA,1295573
DISTRIBUCION_BEGASA,1295577
DISTRIBUCION_BEGASA,1295680
DISTRIBUCION_BEGASA,1295689
DISTRIBUCION_BEGASA,1295706
DISTRIBUCION_BEGASA,1295760
DISTRIBUCION_BEGASA,1295916
DISTRIBUCION_BEGASA,1296079
DISTRIBUCION_BEGASA,1296196
DISTRIBUCION_BEGASA,1296398
DISTRIBUCION_BEGASA,1296546
DISTRIBUCION_BEGASA,1296592
DISTRIBUCION_BEGASA,1296713
DISTRIBUCION_BEGASA,1296909
DISTRIBUCION_BEGASA,1296945
DISTRIBUCION_BEGASA,1297147
DISTRIBUCION_BEGASA,1297190
DISTRIBUCION_BEGASA,1297346
DISTRIBUCION_BEGASA,1297364
DISTRIBUCION_BEGASA,1297552
DISTRIBUCION_BEGASA,1297755
DISTRIBUCION_BEGASA,1297803
DISTRIBUCION_BEGASA,1297912
DISTRIBUCION_BEGASA,1298019
DISTRIBUCION_BEGASA,1298049
DISTRIBUCION_BEGASA,1298228
DISTRIBUCION_BEGASA,1298287
DISTRIBUCION_BEGASA,1298327
DISTRIBUCION_BEGASA,1298506
DISTRIBUCION_BEGASA,1298656
DISTRIBUCION_BEGASA,1298859
DISTRIBUCION_BEGASA,1298972
DISTRIBUCION_BEGASA,1299091
DISTRIBUCION_BEGASA,1299258
DISTRIBUCION_BEGASA,1299426
DISTRIBUCION_BEGASA,1299557
DISTRIBUCION_BEGASA,1299602
DISTRIBUCION_BEGASA,1299709
DISTRIBUCION_BEGASA,1299772
DISTRIBUCION_BEGASA,1299838
DISTRIBUCION_BEGASA,1299886
DISTRIBUCION_BEGASA,1299959
DISTRIBUCION_BEGASA,1300154
DISTRIBUCION_BEGASA,1300245
DISTRIBUCION_BEGASA,1300409
DISTRIBUCION_BEGASA,1300501
DISTRIBUCION_BEGASA,1300646
DISTRIBUCION_BEGASA,1300699
DISTRIBUCION_BEGASA,1300841
DISTRIBUCION_BEGASA,1300927
DISTRIBUCION_BEGASA,1301093
DISTRIBUCION_BEGASA,1301186
DISTRIBUCION_BEGASA,1301203
DISTRIBUCION_BEGASA,1301285
DISTRIBUCION_BEGASA,1301321
DISTRIBUCION_BEGASA,1301510
DISTRIBUCION_BEGASA,1301640
DISTRIBUCION_BEGASA,1301737
DISTRIBUCION_BEGASA,1301777
DISTRIBUCION_BEGASA,1301934
DISTRIBUCION_BEGASA,1302128
DISTRIBUCION_BEGASA,1302220
DISTRIBUCION_BEGASA,1302247
DISTRIBUCION_BEGASA,1302424
DISTRIBUCION_BEGASA,1302486
DISTRIBUCION_BEGASA,1302513
DISTRIBUCION_BEGASA,1302702
DISTRIBUCION_BEGASA,1302813
DISTRIBUCION_BEGASA,1302996
DISTRIBUCION_BEGASA,1303041
DISTRIBUCION_BEGASA,1303184
DISTRIBUCION_BEGASA,1303225
DISTRIBUCION_BEGASA,1303398
DISTRIBUCION_BEGASA,1303563
DISTRIBUCION_BEGASA,1303625
DISTRIBUCION_BEGASA,1303766
DISTRIBUCION_BEGASA,1303786
DISTRIBUCION_BEGASA,1303828
DISTRIBUCION_BEGASA,1304036
DISTRIBUCION_BEGASA,1304089
DISTRIBUCION_BEGASA,1304143
DISTRIBUCION_BEGASA,1304184
DISTRIBUCION_BEGASA,1304374
DISTRIBUCION_BEGASA,1304427
DISTRIBUCION_BEGASA,1304616
DISTRIBUCION_BEGASA,1304629
DISTRIBUCION_BEGASA,1304726
DISTRIBUCION_BEGASA,1304818
DISTRIBUCION_BEGASA,1304863
DISTRIBUCION_BEGASA,1304970
DISTRIBUCION_BEGASA,1305114
DISTRIBUCION_BEGASA,1305124
DISTRIBUCION_BEGASA,1305286
DISTRIBUCION_BEGASA,1305348
DISTRIBUCION_BEGASA,1305351
DISTRIBUCION_BEGASA,1305532
DISTRIBUCION_BEGASA,1305730
DISTRIBUCION_BEGASA,1305745
DISTRIBUCION_BEGASA,1305921
DISTRIBUCION_BEGASA,1305956
DISTRIBUCION_BEGASA,1305971
DISTRIBUCION_BEGASA,1306103
DISTRIBUCION_BEGASA,1306202
DISTRIBUCION_BEGASA,1306380
DISTRIBUCION_BEGASA,1306515
DISTRIBUCION_BEGASA,1306580
DISTRIBUCION_BEGASA,1306666
DISTRIBUCION_BEGASA,1306753
DISTRIBUCION_BEGASA,1306855
DISTRIBUCION_BEGASA,1306889
DISTRIBUCION_BEGASA,1307037
DISTRIBUCION_BEGASA,1307135
DISTRIBUCION_BEGASA,1307208
DISTRIBUCION_BEGASA,1307372
DISTRIBUCION_BEGASA,1307526
DISTRIBUCION_BEGASA,1307569
DISTRIBUCION_BEGASA,1307621
DISTRIBUCION_BEGASA,1307752
DISTRIBUCION_BEGASA,1307754
DISTRIBUCION_BEGASA,1307963
DISTRIBUCION_BEGASA,1308158
DISTRIBUCION_BEGASA,1308163
DISTRIBUCION_BEGASA,1308313
DISTRIBUCION_BEGASA,1308421
DISTRIBUCION_BEGASA,1308534
DISTRIBUCION_BEGASA,1308681
DISTRIBUCION_BEGASA,1308742
DISTRIBUCION_BEGASA,1308750
DISTRIBUCION_BEGASA,1308874
DISTRIBUCION_BEGASA,1308897
DISTRIBUCION_BEGASA,1308999
DISTRIBUCION_BEGASA,1309082
DISTRIBUCION_BEGASA,1309094
DISTRIBUCION_BEGASA,1309233
DISTRIBUCION_BEGASA,1309327
DISTRIBUCION_BEGASA,1309442
DISTRIBUCION_BEGASA,1309629
DISTRIBUCION_BEGASA,1309756
DISTRIBUCION_BEGASA,1309842
DISTRIBUCION_BEGASA,1309942
DISTRIBUCION_BEGASA,1310074
DISTRIBUCION_BEGASA,1310164
DISTRIBUCION_BEGASA,1310178
DISTRIBUCION_BEGASA,1310339
DISTRIBUCION_BEGASA,1310443
DISTRIBUCION_BEGASA,1310575
DISTRIBUCION_BEGASA,1310770
DISTRIBUCION_BEGASA,1310882
DISTRIBUCION_BEGASA,1311035
DISTRIBUCION_BEGASA,1311112
DISTRIBUCION_BEGASA,1311121
DISTRIBUCION_BEGASA,1311124
DISTRIBUCION_BEGASA,1311146
DISTRIBUCION_BEGASA,1311222
DISTRIBUCION_BEGASA,1311378
DISTRIBUCION_BEGASA,1311397
DISTRIBUCION_BEGASA,1311570
DISTRIBUCION_BEGASA,1311768
DISTRIBUCION_BEGASA,1311887
DISTRIBUCION_BEGASA,1311916
DISTRIBUCION_BEGASA,1312103
DISTRIBUCION_BEGASA,1312267
DISTRIBUCION_BEGASA,1312295
DISTRIBUCION_BEGASA,1312405
DISTRIBUCION_BEGASA,1312577
DISTRIBUCION_BEGASA,1312748
DISTRIBUCION_BEGASA,1312920
DISTRIBUCION_BEGASA,1312985
DISTRIBUCION_BEGASA,1313078
DISTRIBUCION_BEGASA,1313251
DISTRIBUCION_BEGASA,1313456
DISTRIBUCION_BEGASA,1313490
DISTRIBUCION_BEGASA,1313692
DISTRIBUCION_BEGASA,1313732
DISTRIBUCION_BEGASA,1313734
DISTRIBUCION_BEGASA,1313938
DISTRIBUCION_BEGASA,1314086
DISTRIBUCION_BEGASA,1314207
DISTRIBUCION_BEGASA,1314226
DISTRIBUCION_BEGASA,1314333
DISTRIBUCION_BEGASA,1314434
DISTRIBUCION_BEGASA,1314610
DISTRIBUCION_BEGASA,1314739
DISTRIBUCION_BEGASA,1314859
DISTRIBUCION_BEGASA,1314910
DISTRIBUCION_BEGASA,1314960
DISTRIBUCION_BEGASA,1314987
DISTRIBUCION_BEGASA,1315134
DISTRIBUCION_BEGASA,1315275
DISTRIBUCION_BEGASA,1315326
DISTRIBUCION_BEGASA,1315488
DISTRIBUCION_BEGASA,1315566
DISTRIBUCION_BEGASA,1315690
DISTRIBUCION_BEGASA,1315751
DISTRIBUCION_BEGASA,1315800
DISTRIBUCION_BEGASA,1315836
DISTRIBUCION_BEGASA,1315844
DISTRIBUCION_BEGASA,1316010
DISTRIBUCION_BEGASA,1316062
DISTRIBUCION_BEGASA,1316088
DISTRIBUCION_BEGASA,1316231
DISTRIBUCION_BEGASA,1316232
DISTRIBUCION_BEGASA,1316262
DISTRIBUCION_BEGASA,1316467
DISTRIBUCION_BEGASA,1316674
DISTRIBUCION_BEGASA,1316824
DISTRIBUCION_BEGASA,1316933
DISTRIBUCION_BEGASA,1317077
DISTRIBUCION_BEGASA,1317237
DISTRIBUCION_BEGASA,1317260
DISTRIBUCION_BEGASA,1317356
DISTRIBUCION_BEGASA,1317421
DISTRIBUCION_BEGASA,1317551
DISTRIBUCION_BEGASA,1317716
DISTRIBUCION_BEGASA,1317788
DISTRIBUCION_BEGASA,1317859
DISTRIBUCION_BEGASA,1317976
DISTRIBUCION_BEGASA,1318138
DISTRIBUCION_BEGASA,1318235
DISTRIBUCION_BEGASA,1318439
DISTRIBUCION_BEGASA,1318571
DISTRIBUCION_BEGASA,1318751
DISTRIBUCION_BEGASA,1318755
DISTRIBUCION_BEGASA,1318885
DISTRIBUCION_BEGASA,1319004
DISTRIBUCION_BEGASA,1319149
DISTRIBUCION_BEGASA,1319215
DISTRIBUCION_BEGASA,1319420
DISTRIBUCION_BEGASA,1319572
DISTRIBUCION_BEGASA,1319740
DISTRIBUCION_BEGASA,1319746
DISTRIBUCION_BEGASA,1319813
DISTRIBUCION_BEGASA,1320021
DISTRIBUCION_BEGASA,1320112
DISTRIBUCION_BEGASA,1320248
DISTRIBUCION_BEGASA,1320427
DISTRIBUCION_BEGASA,1320592
DISTRIBUCION_BEGASA,1320758
DISTRIBUCION_BEGASA,1320791
DISTRIBUCION_BEGASA,1320961
DISTRIBUCION_BEGASA,1320995
DISTRIBUCION_BEGASA,1321130
DISTRIBUCION_BEGASA,1321259
DISTRIBUCION_BEGASA,1321290
DISTRIBUCION_BEGASA,1321298
DISTRIBUCION_BEGASA,1321505
DISTRIBUCION_BEGASA,1321566
DISTRIBUCION_BEGASA,1321670
DISTRIBUCION_BEGASA,1321718
DISTRIBUCION_BEGASA,1321912
DISTRIBUCION_BEGASA,1321914
DISTRIBUCION_BEGASA,1322115
DISTRIBUCION_BEGASA,1322221
DISTRIBUCION_BEGASA,1322257
DISTRIBUCION_BEGASA,1322283
DISTRIBUCION_BEGASA,1322301
DISTRIBUCION_BEGASA,1322414
DISTRIBUCION_BEGASA,1322487
DISTRIBUCION_BEGASA,1322512
DISTRIBUCION_BEGASA,1322706
DISTRIBUCION_BEGASA,1322723
DISTRIBUCION_BEGASA,1322929
DISTRIBUCION_BEGASA,1322949
DISTRIBUCION_BEGASA,1323142
DISTRIBUCION_BEGASA,1323161
DISTRIBUCION_BEGASA,1323263
DISTRIBUCION_BEGASA,1323312
DISTRIBUCION_BEGASA,1323419
DISTRIBUCION_BEGASA,1323534
DISTRIBUCION_BEGASA,1323596
DISTRIBUCION_BEGASA,1323716
DISTRIBUCION_BEGASA,1323780
DISTRIBUCION_BEGASA,1323838
DISTRIBUCION_BEGASA,1323920
DISTRIBUCION_BEGASA,1324039
DISTRIBUCION_BEGASA,1324071
DISTRIBUCION_BEGASA,1324149
DISTRIBUCION_BEGASA,1324303
DISTRIBUCION_BEGASA,1324375
DISTRIBUCION_BEGASA,1324564
DISTRIBUCION_BEGASA,1324611
DISTRIBUCION_BEGASA,1324685
DISTRIBUCION_BEGASA,1324761
DISTRIBUCION_BEGASA,1324897
DISTRIBUCION_BEGASA,1325046
DISTRIBUCION_BEGASA,1325223
DISTRIBUCION_BEGASA,1325395
DISTRIBUCION_BEGASA,1325579
DISTRIBUCION_BEGASA,1325721
DISTRIBUCION_BEGASA,1325773
DISTRIBUCION_BEGASA,1325963
DISTRIBUCION_BEGASA,1326074
DISTRIBUCION_BEGASA,1326221
DISTRIBUCION_BEGASA,1326286
DISTRIBUCION_BEGASA,1326361
DISTRIBUCION_BEGASA,1326438
DISTRIBUCION_BEGASA,1326521
DISTRIBUCION_BEGASA,1326727
DISTRIBUCION_BEGASA,1326800
DISTRIBUCION_BEGASA,1326822
DISTRIBUCION_BEGASA,1326880
DISTRIBUCION_BEGASA,1326919
DISTRIBUCION_BEGASA,1326949
DISTRIBUCION_BEGASA,1327016
DISTRIBUCION_BEGASA,1327041
DISTRIBUCION_BEGASA,1327065
DISTRIBUCION_BEGASA,1327108
DISTRIBUCION_BEGASA,1327158
DISTRIBUCION_BEGASA,1327211
DISTRIBUCION_BEGASA,1327397
DISTRIBUCION_BEGASA,1327488
DISTRIBUCION_BEGASA,1327659
DISTRIBUCION_BEGASA,1327722
DISTRIBUCION_BEGASA,1327784
DISTRIBUCION_BEGASA,1327793
DISTRIBUCION_BEGASA,1327920
DISTRIBUCION_BEGASA,1327952
DISTRIBUCION_BEGASA,1328098
DISTRIBUCION_BEGASA,1328208
DISTRIBUCION_BEGASA,1328263
DISTRIBUCION_BEGASA,1328307
DISTRIBUCION_BEGASA,1328483
DISTRIBUCION_BEGASA,1328497
DISTRIBUCION_BEGASA,1328651
DISTRIBUCION_BEGASA,1328740
DISTRIBUCION_BEGASA,1328903
DISTRIBUCION_BEGASA,1328929
DISTRIBUCION_BEGASA,1329128
DISTRIBUCION_BEGASA,1329192
DISTRIBUCION_BEGASA,1329277
DISTRIBUCION_BEGASA,1329419
DISTRIBUCION_BEGASA,1329627
DISTRIBUCION_BEGASA,1329646
DISTRIBUCION_BEGASA,1329723
DISTRIBUCION_BEGASA,1329833
DISTRIBUCION_BEGASA,1329889
DISTRIBUCION_BEGASA,1329938
DISTRIBUCION_BEGASA,1329969
