CLIENT,SECTOR,CUPS
REP,GAS,CUPS00040765W
REP,GAS,CUPS00048255G
REP,GAS,CUPS00054327B
REP,GAS,CUPS00110053L
REP,GAS,CUPS00118037C
REP,GAS,CUPS00144170F
REP,GAS,CUPS00267638N
REP,GAS,CUPS00322901T
REP,GAS,CUPS00367132R
REP,GAS,CUPS00442265S
REP,GAS,CUPS00586001T
REP,GAS,CUPS00752039V
REP,GAS,CUPS00783252Y
REP,GAS,CUPS00792095E
REP,GAS,CUPS00990264J
REP,GAS,CUPS01219390Y
REP,GAS,CUPS01281771A
REP,GAS,CUPS01283794T
REP,GAS,CUPS01395695N
REP,GAS,CUPS01450724B
REP,GAS,CUPS01466341R
REP,GAS,CUPS01850925A
REP,GAS,CUPS02105571R
REP,GAS,CUPS02149636Q
REP,GAS,CUPS02506187Q
REP,GAS,CUPS03264972K
REP,GAS,CUPS03290979Y
REP,GAS,CUPS03423571D
REP,GAS,CUPS03451008S
REP,GAS,CUPS03637929W
REP,GAS,CUPS03921452R
REP,GAS,CUPS04001945D
REP,GAS,CUPS04038082M
REP,GAS,CUPS04214886V
REP,GAS,CUPS04361924L
REP,GAS,CUPS04558331T
REP,GAS,CUPS04638765R
REP,GAS,CUPS04920488Z
REP,GAS,CUPS05007823M
REP,GAS,CUPS05333302G
REP,GAS,CUPS05444311N
REP,GAS,CUPS05473059R
REP,GAS,CUPS05510495V
REP,GAS,CUPS05685197W
REP,GAS,CUPS05766214P
REP,GAS,CUPS05792865P
REP,GAS,CUPS05920117L
REP,GAS,CUPS06188519L
REP,GAS,CUPS06577692F
REP,GAS,CUPS06798117L
REP,GAS,CUPS07384968P
REP,GAS,CUPS07552798P
REP,GAS,CUPS07787941A
REP,GAS,CUPS08199109D
REP,GAS,CUPS08322704T
REP,GAS,CUPS08864393M
REP,GAS,CUPS09043067V
REP,GAS,CUPS09178334A
REP,GAS,CUPS09263496X
REP,GAS,CUPS09309085N
REP,GAS,CUPS09529299B
REP,GAS,CUPS10157423Y
REP,GAS,CUPS10193852A
REP,GAS,CUPS10220286W
REP,GAS,CUPS10780605X
REP,GAS,CUPS10815525J
REP,GAS,CUPS10816155H
REP,GAS,CUPS10828800M
REP,GAS,CUPS10951862X
REP,GAS,CUPS11001704K
REP,GAS,CUPS11143149B
REP,GAS,CUPS11866387S
REP,GAS,CUPS11958312G
REP,GAS,CUPS12556817T
REP,GAS,CUPS12999033Q
REP,GAS,CUPS13269785J
REP,GAS,CUPS14026073X
REP,GAS,CUPS14216874A
REP,GAS,CUPS14306082M
REP,GAS,CUPS14975619D
REP,GAS,CUPS15029864E
REP,GAS,CUPS15097386B
REP,GAS,CUPS15402126B
REP,GAS,CUPS15509001T
REP,GAS,CUPS15525644M
REP,GAS,CUPS15895903R
REP,GAS,CUPS15931593J
REP,GAS,CUPS16054602W
REP,GAS,CUPS16800038K
REP,GAS,CUPS17022307D
REP,GAS,CUPS17046738J
REP,GAS,CUPS17176887Z
REP,GAS,CUPS17435479W
REP,GAS,CUPS17859035W
REP,GAS,CUPS18047153X
REP,GAS,CUPS18407332D
REP,GAS,CUPS18424120F
REP,GAS,CUPS18685351A
REP,GAS,CUPS18806271V
REP,GAS,CUPS19812153M
REP,GAS,CUPS20492913W
REP,GAS,CUPS20750634Y
REP,GAS,CUPS20925359N
REP,GAS,CUPS20954402B
REP,GAS,CUPS21316636R
REP,GAS,CUPS21367293E
REP,GAS,CUPS21515975R
REP,GAS,CUPS21626621C
REP,GAS,CUPS21798114P
REP,GAS,CUPS22139561D
REP,GAS,CUPS22487484Y
REP,GAS,CUPS22669164H
REP,GAS,CUPS22713483M
REP,GAS,CUPS23062976X
REP,GAS,CUPS23662069D
REP,GAS,CUPS24102478X
REP,GAS,CUPS25480347A
