InvoiceRef,DISTRIZ,SECTOR
313424,28079,ML
313548,28079,ML
313594,28079,ML
313711,28079,ML
313849,28079,ML
313942,28079,ML
314032,28079,ML
314044,28079,ML
314188,28079,ML
314327,28079,ML
314350,28079,ML
314424,28079,ML
314629,28079,ML
314826,28079,ML
315003,28079,ML
315181,28079,ML
315363,28079,ML
315465,28079,ML
315643,28079,ML
315650,28079,ML
315742,28079,ML
315905,28079,ML
316054,28079,ML
316140,28079,ML
316231,28079,ML
316233,28079,ML
316342,28079,ML
316378,28079,ML
316549,28079,ML
316740,28079,ML
316945,28079,ML
317074,28079,ML
317165,28079,ML
317170,28079,ML
317361,28079,ML
317387,28079,ML
317589,28079,ML
317795,28079,ML
317874,28079,ML
317887,28079,ML
318046,28079,ML
318085,28079,ML
318114,28079,ML
318306,28079,ML
318482,36057,ML
318642,36057,ML
318818,36057,ML
319008,36057,ML
319040,36057,ML
319049,36057,ML
319170,36057,ML
319187,36057,ML
319311,36057,ML
319506,36057,ML
319661,36057,ML
319789,36057,ML
319967,36057,ML
320013,36057,ML
320208,36057,ML
320252,36057,ML
320334,36057,ML
320415,36057,ML
320440,36057,ML
320584,36057,ML
320721,36057,ML
320923,36057,ML
321117,36057,ML
321159,36057,ML
321293,36057,ML
321350,36057,ML
321528,36057,ML
321592,36057,ML
321728,36057,ML
321936,36057,ML
321973,36057,ML
322110,36057,ML
322269,36057,ML
322366,3605700,ML
322455,3605700,ML
322533,3605700,ML
322687,3605700,ML
322872,3605700,ML
322960,3605700,ML
323071,3605700,ML
323154,3605700,ML
323298,3605700,ML
323304,3605700,ML
323430,36057,ML
323613,36057,ML
323798,36057,ML
323999,36057,ML
324104,36057,ML
324156,36057,ML
324253,36057,ML
324269,36057,ML
324311,36057,ML
324407,36057,ML
324534,36057,ML
324615,36057,ML
324694,36057,ML
324822,36057,ML
324971,36057,ML
325177,24030,ML
325212,24030,ML
325306,24030,ML
325446,24030,ML
325572,24030,ML
325736,24030,ML
325874,24030,ML
326034,24030,ML
326173,24030,ML
326358,24030,ML
326493,24030,ML
326565,24030,ML
326652,24030,ML
326653,24030,ML
326660,24030,ML
326743,24030,ML
326932,24030,ML
327001,24030,ML
327132,24030,ML
327151,24030,ML
327263,24030,ML
327394,24030,ML
327460,24030,ML
327474,24030,ML
327501,24030,ML
327562,24030,ML
327761,24030,ML
327934,24030,ML
328005,24030,ML
328056,24030,ML
328108,24115,ML
328253,24115,ML
328296,24115,ML
328357,24115,ML
328433,24115,ML
328565,24115,ML
328728,24115,ML
328809,24115,ML
328810,24115,ML
328906,24115,ML
328969,24115,ML
329101,24115,ML
329144,24115,ML
329175,24115,ML
329176,24115,ML
329214,24115,ML
329272,24115,ML
329360,24115,ML
329474,24115,ML
329626,24115,ML
329713,24115,ML
329819,24115,ML
329933,24115,ML
330010,24115,ML
330072,24115,ML
330274,24115,ML
330298,24115,ML
330423,24115,ML
330474,24115,ML
330496,24115,ML
330697,24115,ML
330803,24115,ML
331002,24115,ML
331015,24115,ML
331123,24115,ML
331325,24115,ML
331344,24115,ML
331400,24115,ML
331597,28079,GAS
331745,28079,GAS
331884,28079,GAS
332086,28079,GAS
332122,28079,GAS
332149,28079,GAS
332285,28079,GAS
332362,28079,GAS
332563,28079,GAS
332629,28079,GAS
332801,28079,GAS
332849,28079,GAS
332940,28079,GAS
333055,28079,GAS
333080,28079,GAS
333133,28079,GAS
333172,28079,GAS
333204,28079,GAS
333231,28079,GAS
333390,28079,GAS
333504,28079,GAS
333537,28079,GAS
333730,28079,GAS
333886,28079,GAS
333988,28079,GAS
334046,28079,GAS
334173,28079,GAS
334198,28079,GAS
334380,28079,GAS
334412,40194,GAS
334605,40194,GAS
334629,40194,GAS
334822,40194,GAS
334951,40194,GAS
335068,40194,GAS
335254,40194,GAS
335373,40194,GAS
335458,40194,GAS
335597,40194,GAS
335625,40194,GAS
335728,40194,GAS
335901,40194,GAS
336065,40194,GAS
336150,40194,GAS
336204,40194,GAS
336332,40194,GAS
336384,40194,GAS
336460,40194,GAS
336497,40194,GAS
336690,40194,GAS
336763,40194,GAS
336866,40194,GAS
336966,40194,GAS
337001,40194,GAS
337059,40194,GAS
337266,40194,GAS
337363,40194,GAS
337419,40194,GAS
337463,40194,GAS
337469,40194,GAS
337480,40194,GAS
337575,40194,GAS
337704,40194,GAS
337806,40194,GAS
337912,40194,GAS
338077,40194,GAS
338149,NA,GAS
338227,NA,GAS
338405,NA,GAS
338413,NA,GAS
338552,45054,ML
338598,45054,ML
338780,45054,ML
338893,45054,ML
339051,45054,ML
339179,45054,ML
339352,45054,ML
339375,45054,ML
339399,45054,ML
339471,45054,ML
339596,45054,ML
339727,45054,ML
339827,45054,ML
339927,45054,ML
340049,45054,ML
340105,45054,ML
340284,45054,ML
340390,45054,ML
340481,45054,ML
340667,45054,ML
340750,45054,ML
340939,45054,ML
341012,45054,ML
341151,45054,ML
341271,45054,ML
341365,45054,ML
341506,45054,ML
341681,45054,ML
341749,45054,ML
341752,45054,ML
341783,45054,ML
341919,45054,ML
341928,45054,ML
342079,45054,ML
342248,45054,ML
342249,45054,ML
342336,45054,ML
342543,45054,ML
342575,4505400,ML
342746,4505400,ML
342886,4505400,ML
343026,4505400,ML
343176,4505400,ML
343329,4505400,ML
343331,4505400,ML
343515,4505400,ML
343619,4505400,ML
343628,4505400,ML
343664,4505400,ML
343669,4505400,ML
343871,4505400,ML
343916,45054,ML
344013,45054,ML
344082,45054,ML
344172,45054,ML
344227,45054,ML
344317,45054,ML
344520,45054,ML
344547,4505400,ML
344629,4505400,ML
344753,4505400,ML
344925,4505400,ML
344949,4505400,ML
345035,4505400,ML
345134,4505400,ML
345157,4505400,ML
345363,4505400,ML
345525,4505400,ML
345710,4505400,ML
345744,4505400,ML
345870,4505400,ML
345877,4505400,ML
346006,4505400,ML
346203,4505400,ML
346383,4505400,ML
346584,4505400,ML
346618,4505400,ML
346723,4505400,ML
346746,4505400,ML
346787,4505400,ML
346980,4505400,ML
347045,4505400,ML
347147,4505400,ML
347247,4505400,ML
347368,4505400,ML
347390,4505400,ML
347596,4505400,ML
347769,4505400,ML
347826,4505400,ML
348013,4505400,ML
348150,4505400,ML
348236,4505400,ML
348372,4505400,ML
348446,4505400,ML
348532,4505400,ML
348603,4505400,ML
348686,4505400,ML
348764,4505400,ML
348846,4505400,ML
349013,45054,ML
349126,45054,ML
349297,28079,ML
349382,28079,ML
349506,28079,ML
349625,28079,ML
349626,28079,ML
349634,28079,ML
349724,28079,ML
349890,28079,ML
349941,28079,ML
350106,28079,ML
350130,28079,ML
350318,28079,ML
350381,28079,ML
350409,28079,ML
350605,28079,ML
350655,28079,ML
350683,28079,ML
350845,28079,ML
350925,28079,ML
350979,28079,ML
351010,28079,ML
351050,28079,ML
351135,28079,ML
351289,28079,ML
351407,28079,ML
351414,28079,ML
351585,28079,ML
351625,28079,ML
351666,28079,ML
351745,28079,ML
351935,28079,ML
351987,28079,ML
352172,28079,ML
352288,28079,ML
352462,28079,ML
352627,28079,ML
352827,28079,ML
352888,28079,ML
352925,28079,ML
353094,28079,ML
353232,28079,ML
353259,28079,ML
353384,39075,GAS
353553,39075,GAS
353649,39075,GAS
353842,39075,GAS
353897,39075,GAS
353996,39075,GAS
354201,39075,GAS
354331,39075,GAS
354449,39075,GAS
354523,39075,GAS
354710,39075,GAS
354901,39075,GAS
355095,39075,GAS
355153,39075,GAS
355175,39075,GAS
355276,39075,GAS
355356,39075,GAS
355426,39075,GAS
355560,39075,GAS
355669,39075,GAS
355703,39075,GAS
355876,39075,GAS
355973,39075,GAS
355988,39075,GAS
356007,39075,GAS
356134,39075,GAS
356312,39075,GAS
356407,39075,GAS
356509,39075,GAS
356619,39075,GAS
356668,39075,GAS
356855,39075,GAS
357049,39075,GAS
357128,39075,GAS
357247,39075,GAS
357428,39075,GAS
357637,39075,GAS
357764,39075,GAS
357964,39075,GAS
358137,39075,GAS
358247,39075,GAS
358335,39075,GAS
358348,39075,GAS
358427,39075,GAS
358508,39075,GAS
358623,39075,GAS
358760,28079,ML
358886,28079,ML
359013,28079,ML
359059,28079,ML
359238,28079,ML
359268,28079,ML
359282,28079,ML
359468,28079,ML
359566,28079,ML
359654,28079,ML
359715,28079,ML
359874,28079,ML
359936,28079,ML
360068,28079,ML
360140,28079,ML
360341,28079,ML
360432,28079,ML
360532,28079,ML
360649,28079,ML
360835,28079,ML
360896,28079,ML
360910,28079,ML
361004,28079,ML
361159,28079,ML
361191,28079,ML
361330,28079,ML
361362,28079,ML
361431,28079,ML
361543,28079,ML
361735,28079,ML
361793,28079,ML
361918,28079,ML
362088,2807900,ML
362290,2807900,ML
362477,2807900,ML
362485,2807900,ML
362680,2807900,ML
362819,2807900,ML
362853,2807900,ML
362917,2807900,ML
362979,2807900,ML
363107,2807900,ML
363109,2807900,ML
363292,2807900,ML
363453,2807900,ML
363528,2807900,ML
363581,2807900,ML
363618,2807900,ML
363735,2807900,ML
363944,2807900,ML
364148,2807900,ML
364167,28079,ML
364182,28079,ML
364272,28079,ML
364286,28079,ML
364437,28079,ML
364476,28079,ML
364512,2807900,ML
364549,2807900,ML
364725,2807900,ML
364840,2807900,ML
364982,2807900,ML
365040,2807900,ML
365206,2807900,ML
365331,2807900,ML
365485,2807900,ML
365671,2807900,ML
365809,2807900,ML
365947,28079,ML
